label,question
payment_freq,help me check what is my payment frequency
payment_freq,help me check the frequency of my payment
payment_freq,how frequent do I have to pay
payment_freq,do I make payment consistently
payment_freq,do I have to make payment consistenely
payment_freq,how consistently do I have to make my payments
payment_freq,how consistently do I have to make payments
payment_freq,how frequently do I have to make payment for the plans that I bought
payment_freq,how frequently do I need to make payment for the plans I bought
payment_freq,"for the insurance that I bought, how freqeuntly do I have to pay"
payment_freq,what is my payment frequency for the plans that I bought
payment_freq,what is my freqeuncy of payment for the insurance
payment_freq,"for the insurance, how frequent do I have to pay"
payment_freq,"for the plans, how frequently do I have to pay"
payment_freq,what is the payment frequency for the plans
payment_freq,what is the payment frequency
payment_freq,what is the payment frequency that I have to pay
payment_freq,the payment frequency is what
payment_freq,the payment frequency?
payment_freq,payment freq?
payment_freq,payment frequency?
payment_freq,just tell me the payment frequency
payment_freq,what are the number of times I have to pay
payment_freq,required no of times to pay in a year
payment_freq,required number of times to pay in a year
payment_freq,required times I have to pay per year
payment_freq,per year or monthly
payment_freq,pamyent freq where to find this information
payment_freq,how to find information about the payment frequency
payment_freq,how to find how many times I have to pay for the payment of my insurance
payment_freq,isit monthly payment
payment_freq,is it yearly payment
payment_freq,is the payment yearly or monthly
payment_freq,the payment yearly or what
payment_freq,monthly payment or year
payment_freq,then the payment is how frequeny
payment_freq,frequency of payment
payment_freq,what's the frequency of payment
payment_freq,what's the payment frequency like
payment_freq,what is the payment frequency going to be like
payment_freq,how many times do I need to pay per year
payment_freq,"per year, what is the required no of times I have to pay"
payment_freq,per year or per month
payment_freq,"per year, how many times do I need to pay"
payment_freq,is the payment annually or fortnightly
payment_freq,is there any annual payment or monthly
payment_freq,is the payment annual
payment_freq,is the payment annually?
payment_freq,is my payment annualy
payment_freq,do I have to pay annually
payment_freq,the payment for the insurance isit annual
payment_freq,frequency of payment is what
payment_freq,what's the freq of payment
payment_mode,which kind of payment am I using
payment_mode,the payment method
payment_mode,say payment method
payment_mode,tell me payment method
payment_mode,the method of paying
payment_mode,what method of payment I use
payment_mode,what option I use to pay  for my product
payment_mode,which payment method 
payment_mode,what option did I say I was using
payment_mode,what option did I decided to use
payment_mode,what kind of payment method did I utilise
payment_mode,what did I decide to use to pay
payment_mode,what kind of payment am I doing
payment_mode,was the option selected giro when I want to pay
payment_mode,during paying was it a giro deduction
payment_mode,do I use cash to pay my insurance
payment_mode,"for the plans, did I use cash to pay"
payment_mode,what was the option that I decided upon to pay
payment_mode,"for the paying method, which option did I decide upon"
payment_mode,"for the payment method, did I use cash or giro"
payment_mode,other method used to pay my insurance
payment_mode,the way I use to pay my insurance
payment_mode,the way I use to pay for my plans
payment_mode,what option I choose to pay my plans
payment_mode,the option selected to pay the insurance fee
payment_mode,fee to pay insurace was using giro isit
payment_mode,was the payment method giro or cash
payment_mode,the payment for insurance is what
payment_mode,the payment method for insurance is which one
payment_mode,payment technique can tell me which oen I use
payment_mode,which one did I use for the payment method
payment_mode,do you know what is the payment mode I used to pay?
payment_mode,what can you tell me about the payment mode I used
payment_mode,what kind of method was used to pay
payment_mode,the payment mode is which one
payment_mode,paid by cash
payment_mode,giro payment?
payment_mode,cash payment?
payment_mode,card payment?
payment_mode,how did I pay?
payment_mode,what mode of pay I used
payment_mode,which mode of paying I use
payment_mode,what kind of payment mode I used
payment_mode,what kind of paying system was used
payment_mode,did I use giro to pay my fees
payment_mode,what kind of payment method was it
payment_mode,did I use some giro payment
payment_mode,did I pay by cash or something else
payment_mode,was the payment mode I chose giro
payment_mode,did I choose some giro payment
payment_mode,hi bot what payment method did I use
payment_mode,hey bot which method did I use to pay
insurer,which insurance company
insurer,name of the company
insurer,name of the insurance's company
insurer,what is the name of the company that I bought my insurance from
insurer,what's the name of the company that I bought my insurance from
insurer,the insurance is buy from which company
insurer,the inusrance is by which company
insurer,the insurance is by which company
insurer,insurer name 
insurer,my product's insurer
insurer,my plan's insurer
insurer,insurer
insurer,say insurer
insurer,tell me my insurer of the plans that I bought
insurer,tell me the insurer of the products
insurer,tell me the insurer of my products
insurer,tell me the insurer of my insurance plans
insurer,the plans I buy from where
insurer,the comapyn name of the insurance
insurer,the insruance the company name
insurer,would you tell me what is the insurer name
insurer,could u tell me what is the insurer
insurer,could you tell me who is my insurer
insurer,who is my insurer tell me
insurer,say the insurer name of my plans
insurer,company name of the insurance
insurer,is my insurance from aviva
insurer,company of my insurance
insurer,company that I bought my products from
insurer,the name of the insurer of my products
insurer,the name of my insurer
insurer,the name of the insurer that I buy from
insurer,which company did I actuallly buy my products from
insurer,I buy from which company
insurer,who is my insurer
insurer,who is the insurer
insurer,the company of the plans
insurer,the insurance product come from where
insurer,the insurance company name
insurer,tell me the insurace company nmae
insurer,what is the name of the insurer
insurer,what is the ame of the company that  I bought from
insurer,my plans from which company
insurer,the name of company
insurer,namme of the company of my products
insurer,name of the company of my insurace
insurer,the name of company?
insurer,what's the name of the insurer
insurer,what's the insurer
insurer,who's the insurer
insurer,who is the insurer name
insurer,insurer name is hwat
insurer,how to know which is my insurer
insurer,who is the insurer protectign me
insurer,who did I buy my plans from
product_name,name of insurance that I buy
product_name,name of the plans that was bought
product_name,name of the insurance plan that I buy
product_name,name of the product I bought
product_name,name of the insruance
product_name,name of the insurance
product_name,name of the insurance that I buy
product_name,what is the insurance name?
product_name,what is the name of the insurance?
product_name,say the names of the insurance that bought
product_name,what are the insurances that I buy
product_name,which insurance did I buy
product_name,which plans did I buy
product_name,which plan did I buy from axa
product_name,which product did I buy
product_name,which plan did I purchase
product_name,which insurance did I purchase
product_name,what insurance did I purchase
product_name,the name of the insurance that I bought
product_name,the name of the plans that I buy
product_name,tell me the name of the plan I bought
product_name,tell me the product name
product_name,name of the plans that were bought
product_name,what are the products that I have
product_name,what are the products I have?
product_name,what name of the products I have
product_name,names of the products
product_name,my products
product_name,tell me my products that I buy
product_name,what is the plan that Is protecting me right now
product_name,product name is what for the insurance that I bought
product_name,the product name of the insurance where to find
product_name,where to find the product name of the insurance
product_name,what insurance do I have
product_name,what's the plan name that I bought
product_name,what Is the plan that I bought
product_name,which plan I buy
product_name,which product did I buy from aviva
product_name,what product name
product_name,what is the insurance name
product_name,what is the name of my insurance
product_name,what is the name of yhe plans that I bought
product_name,what is the name of the plan that I pruchased
product_name,I buy which plan
product_name,which plan did I buy
product_name,what is the plan name
product_name,what is my insurance name
product_name,what is yhe name of the insurance that I buy
product_name,purchased which insurance
product_name,hello there i very good how are you i want to know my product name
product_name,hello there i very good. how are you? i want to know my product name
product_name,tell me the plans of the products that I purchased
product_name,product name
payout_freq,is my pay out for life
payout_freq,payout hoe many times to me
payout_freq,how many times will my pay out be
payout_freq,what is the payout freq
payout_freq,usually when will have payout
payout_freq,what is the payout frequency
payout_freq,frequency of the payouts
payout_freq,frequency of the pay out
payout_freq,frequency of the pay outs
payout_freq,what is the frequency of payout
payout_freq,what is the frequency of the pay out
payout_freq,what frequency will the payouts be paid
payout_freq,what frequency will u be paying me
payout_freq,what frequency is the payout supposed to be
payout_freq,what frequency will the payouts be
payout_freq,the frequency of the payouts
payout_freq,tell me the payout frequency
payout_freq,tell me the pay out frequency say the frequency of my payout
payout_freq,tell me the frequency of the payouts
payout_freq,tell me what the frequency of the payout is
payout_freq,what is the payout frequency?
payout_freq,what payout frequency do I receive
payout_freq,the frequency of my payouts
payout_freq,when will I get paid after I claim
payout_freq,after claiming when will I get paid
payout_freq,when would I get my payment
payout_freq,when will I get paid by the insurance
payout_freq,when will my plans pay me
payout_freq,"after I claim, when will I get paid"
payout_freq,"after claiming, when will I be getting paid"
payout_freq,payout freq where to check for it?
payout_freq,I want to know what is the payout frequency I will be receiving
payout_freq,where can I find the information for the payout frequency?
payout_freq,when wil I get paid after claiming
payout_freq,when would I get paid from the insurance
payout_freq,when is the insurance going to pay me
payout_freq,what insurance payout frequency are you paying me
payout_freq,frequency of the payouts that I have
payout_freq,frequency of pay outs that is paying me
payout_freq,frequency of my pay out
payout_freq,times of payout paying me
payout_freq,times of the payout
payout_freq,number of times insurance paying me
payout_freq,times of the insurance plan paying me in a year
payout_freq,the number of times your insurance paying me
payout_freq,the number of times the insurance is paying me
payout_freq,the number of times insurance will pay me
payout_freq,the number of times insurance is paying me
payout_freq,the number of times the payout pay me
payout_freq,the no of times I get the payout
payout_freq,number of times payout is given to me
payout_freq,no of times payout give to me
payout_freq,times of payout in a year
coverage_term,the insurance going to cover me until when
coverage_term,the last date that my insurance is going to protect me
coverage_term,what is the start date that I can get covered
coverage_term,wat is the date of my insurance covering me
coverage_term,when will I be covered by the insurance
coverage_term,what is the duration that I will get covered
coverage_term,duration of covering me
coverage_term,start date of coverage
coverage_term,coverage term is what
coverage_term,how long am I covered
coverage_term,how long is the term of my insruance
coverage_term,duration of my insurance covering me
coverage_term,duration of insurance
coverage_term,when will it stop covering me
coverage_term,when will the insurance stop covering
coverage_term,is the person assured by my insurance going to be covered for a lifetime
coverage_term,will I get covered by a lifetime 
coverage_term,would I get covered till I die
coverage_term,is the coverage term till I die
coverage_term,will the coverage term be forever
coverage_term,is my coverage term forever
coverage_term,is the duration forever
coverage_term,whr will my coverage term end
coverage_term,when will the duration of covering me stop
coverage_term,what is the duraiton of the plan
coverage_term,hello bot what is the coverage term of my plans
coverage_term,hi bot what is the duration I am getting covered
coverage_term,hey there what is the length of coverage
coverage_term,hello what is the duration of protection I am getting from the insurance
coverage_term,hi there what is the length of protection I am getting
coverage_term,how long is the protection going to be my friend
coverage_term,hey friend how long is the coverage term?
coverage_term,duration that my plan is covering me
coverage_term,my insurance can cover me for how long?
coverage_term,hwo long can the insruance cover me?
coverage_term,how loing is the coverge term going to last?
coverage_term,duration that my insurance is covering
coverage_term,length of coverage
coverage_term,duration of coverage is what
coverage_term,what is the duration of coverage
coverage_term,what's the duration of coverage
coverage_term,what is the end date
coverage_term,what is the start date that my insurance set
coverage_term,what end date my insurance cover until
coverage_term,which day my insurance cover until
coverage_term,tell me the day of my insurance ending
coverage_term,will my insurance end next year
coverage_term,is my plan ending tomorrow
coverage_term,will my insurance last forever
coverage_term,what is teh duration of my insurance
coverage_term,what is the length of coverage
policy_type,do I have different types of policy
policy_type,do I have diff type of insurance policies
policy_type,insurance policies type is what
policy_type,what are the types of policy I bought
policy_type,what is the type of policy I buy
policy_type,the type of policy that I bought 
policy_type,the policy type?
policy_type,"if I have 3 policy type, what are the 3 types"
policy_type,what kkind of policy did I buy
policy_type,what type of insurance did I buy
policy_type,what kind of insurance did I buy
policy_type,what kind of products I biuy
policy_type,what kind of products I purchased
policy_type,the kinds of products purchased
policy_type,the policy type purhased
policy_type,what policy type I purhased
policy_type,the kind of insruance type
policy_type,say the insurance tpye
policy_type,tell me my insurance type
policy_type,tell me the type of insurance I bought
policy_type,which insurance policy did I buy
policy_type,hi there how are you what is my policy type
policy_type,hi chatbot can you tell me what policy type of my insurance
policy_type,"what is the policy type of insurance, chatbot?"
policy_type,hello chatbot!how are you doing? I want to know what type of insurance I bought
policy_type,hi chatbot!How are you feeling? I want to know what type of plans I purchase
policy_type,"hey bot, what policy type did I buy"
policy_type,"hey folk, what plans type did I buy"
policy_type,what is the plan's type
policy_type,hi bot what plans type
policy_type,bot please tell me the policy plan
policy_type,bot please tell me what insurance I bought
policy_type,"bot, could you tell me the insurance tpye"
policy_type,could u tell the insurance type I have
policy_type,I having which policy
policy_type,I carrying which policy
policy_type,which policy protecting me
policy_type,which policy type covering me
policy_type,what policy type Is protecting me now
policy_type,"currently, the policy type is what"
policy_type,what type of insurance I have now?BOT?
policy_type,which inusrance did I buy
policy_type,what policy type I buy
policy_type,which policy type I habe
policy_type,what is the type of insurance I havw
policy_type,do you know what is the type of policy I haev?
policy_type,what can you tell me about the policy type
policy_type,tell me about the policy type for my insurance
policy_type,say the policy type of the insurance that I bought.
policy_type,having which policy type?
policy_type,havw which type policy?
policy_type,policy type hwat
policy_type,wat the policy type
policy_type,type of insurance I havw
life_assured,was the person that I assigned me?
life_assured,did I assign myself?
life_assured,who are the person assured
life_assured,who is assured for my policy
life_assured,who is assured for this insurance
life_assured,who is the one that is assured for this policy?
life_assured,whose life is covered in my insurance contract
life_assured,person that I choose to cover
life_assured,person that I choose to assign
life_assured,who did I cover for the insurance that I buy
life_assured,"based on the insurance that I bought, who did I put as the person assured"
life_assured,"based on the insurance that I bought, who did I put as the person I am covering"
life_assured,"based on the plans, who did I put as the person that I am going to cover"
life_assured,the covered person is who
life_assured,who did I assiged as person assured
life_assured,who did I assure
life_assured,what is the name of the person assured?
life_assured,which insurance did I not assure myself
life_assured,what is the insurance that I assured for other people
life_assured,how many insurance I assure myself
life_assured,what type of insurance did I assure myself
life_assured,what type of plans did I cover my family
life_assured,what plan did my person assured got covered by
life_assured,who is the person assured
life_assured,who did I assign to protect
life_assured,the insurance is protecting who
life_assured,person that I am assuring where to fid details for it
life_assured,where to find details for the person I am assuring
life_assured,where to look if I want to find information for the person assured
life_assured,I just want to check who is the person I am assuring
life_assured,who is hte person assured
life_assured,who did I assign to be assured
life_assured,who is the insruance protecting
life_assured,whoch insurance is protecting who
life_assured,whiuch insurance is protecting me
life_assured,who is the person that I assiged to be protected
life_assured,who is protected by my insurance
life_assured,who is protected by my plans
life_assured,who did I say I want to protect in my insurance
life_assured,"the insurance that I chose, did I protect my daughter"
life_assured,"the insurance that I bought, did I protect my son"
life_assured,did I choose the person to be protected to be my wife
life_assured,did I choose to protect my husband in my policy
life_assured,is the person assigned my grandfather
life_assured,is the person assigned my grandmother
life_assured,is the person assigned my family members
life_assured,who did I assigned to protect? My daughter or son
life_assured,I protecting who for the insurance
life_assured,my insurance protecting who
life_assured,is my insurance protecting me
life_assured,is my plans protecting my daughter
life_assured,is my plan protecting my son
life_assured,is my plan protecting my father
life_assured,is my plan protecting my mother
payment_duration,when is the payment ending
payment_duration,when will my payment be ending
payment_duration,when is the payment going to start?
payment_duration,when do I begin making payments
payment_duration,my payment duration
payment_duration,what is the payment duration
payment_duration,what is my payment duration?
payment_duration,am I going to have to pay soon
payment_duration,do I have to pay soon
payment_duration,do I need to pay soon
payment_duration,am I required to pay soon
payment_duration,when is the paymetn going to end
payment_duration,is my payment going to end soon
payment_duration,is my payment going to end
payment_duration,when will the payment be ending
payment_duration,payment start date
payment_duration,paymnet end date
payment_duration,payment end date
payment_duration,paymnet duration
payment_duration,what is the paymen duratoin
payment_duration,is the insurance payment going to start soon
payment_duration,do I have to start paying soon?
payment_duration,am I required to pay tomorrow?
payment_duration,do I have to start paying tomorrow
payment_duration,must I pay by tomorrow
payment_duration,how long is the payment going to last
payment_duration,the duration of my payment how long
payment_duration,"isit going to be very long, the duration of payment"
payment_duration,length of payment date
payment_duration,how long is the payment duration
payment_duration,what is the duration of my paymetn
payment_duration,how long do I have to pay for my insurance
payment_duration,payment duration of insruance
payment_duration,insurance payment period
payment_duration,what is the insurance payment period
payment_duration,how long do I have to pay for it
payment_duration,how long do I have to pay for insurance
payment_duration,do I have 30day grace period
payment_duration,do I have 30 day grace period for payment
payment_duration,can I delay my payment duration if I cannot pay yet
payment_duration,"if I pay late, will I get late fees charged"
payment_duration,"if I cannot pay within the payment duration, will I get fees charged"
payment_duration,will fees be charged during a time where I cannot get the payment done
payment_duration,will I get fees if I cannot pay by the payment duration
payment_duration,payment duration how long is it going to be
payment_duration,do I have to pay additional fees if I cannot pay within the payment duration
payment_duration,will the delay in payment make me pay more fees
payment_duration,can I have 30 day grace period If I cannot pay during the payment duration
payment_duration,"if I cannot pay during the payment duration, will my policy be cancelled"
payment_duration,will my inusrance be cancelled if I paid late
payment_duration,what is the exact date that I have to start paying
payment_duration,what is the exact date that I can stop paying
payment_duration,will my insurance be canceled if I cannot pay during the payment duration
fallback,calm down and continue
fallback,make some memories and have fun
fallback,what about going to the movies
fallback,I want to watch a movie
fallback,movie ticket
fallback,how long does chinese new year last
fallback,would it be possible to ask you about some games
fallback,I want to get referral
fallback,who to refer
fallback,not sure what to put here
fallback,what is this supposed to be like
fallback,how is the weather forecast going to be like
fallback,I love titanic
fallback,if today is Monday what is tomorrow
fallback,what is weekend
fallback,who is james bond
fallback,actually not sure what to write anymore
fallback,this is infuriating
fallback,I kept hearing noises around the room
fallback,is that a ghost
fallback,do you understand what I sm saying 
fallback,why are you so angry
fallback,why are u so stuborn
fallback,could you stop all this fuss
fallback,stop whining like a baby
fallback,james bond movie
fallback,I love music 
fallback,what is this?
fallback,who am i
fallback,do u love music
fallback,do u like to watch movies
fallback,I like to use technical analysis
fallback,I need help teach me how to get ready for the stage
fallback,hi bot who is your friend
fallback,hey bot how is this life like
fallback,what is the fundamental basics
fallback,how to drive
fallback,I do not know how to bake
